,imdbId,title,releaseYear,genre,actors,directors,hitFlop
453,tt0490434,Kaaboo,2002,Action,Rajat Bedi | Sudesh Berry | Abhay Bhargav | Ishwar,Vicky Ranawat,1
454,tt0490454,Meri Aashiqui,2005,Romance,Rahul Roy | Himani Shivpuri | Prithvi Zutshi,,1
455,tt0490475,Raghu More: Bachelor of Hearts,2003,Comedy,Anamika Goel | Sonika Kapoor | Mangala Kenkre | Faraha Khan,Iqbal Raj,1
456,tt0491724,Prarambh,2004,Drama,Mukesh Bhatt | Shama Deshpande | Sanjay Gandhi | Vijay Gupta,Kumar Dave,1
457,tt0493417,Fool N Final,2007,Action | Comedy | Romance,Shahid Kapoor | Ayesha Takia | Vivek Oberoi | Sunny Deol,Ahmed Khan,2
458,tt0493437,Apna Sapna Money Money,2006,Comedy | Musical | Romance,Bobby Darling | Ritesh Deshmukh | Avtar Gill | Vrajesh Hirjee,Sangeeth Sivan,5
459,tt0494290,Vivah,2006,Drama | Family | Musical,Shahid Kapoor | Amrita Rao | Anupam Kher | Alok Nath,Sooraj R. Barjatya,8
460,tt0495022,Ankahee,2006,Drama | Romance | Thriller,Aftab Shivdasani | Ameesha Patel | Esha Deol | Amin Hajee,Vikram Bhatt,1
461,tt0495032,Gangster,2006,Crime | Drama | Mystery,Kangana Ranaut | Shiney Ahuja | Emraan Hashmi | Gulshan Grover,Anurag Basu,5
462,tt0495034,Golmaal: Fun Unlimited,2006,Comedy,Ajay Devgn | Arshad Warsi | Sharman Joshi | Tusshar Kapoor,Rohit Shetty,6
463,tt0497606,Dansh,2005,Drama,Kay Kay Menon | Sonali Kulkarni | Aditya Srivastava | Vijay Raj,Kamika Verma | Kanika Verma,1
464,tt0497887,Bhola in Bollywood,2004,Comedy,Ali Asghar | Raj Babbar | Suresh Chatwal | Avtar Gill,Sumbul Gazi,1
465,tt0499041,Kalyug,2005,Action | Crime | Drama,Kunal Khemu | Deepal Shaw | Smiley Suri | Atul Parchure,Mohit Suri,5
466,tt0499375,Guru,2007,Biography | Drama | Musical,Mithun Chakraborty | Abhishek Bachchan | Aishwarya Rai Bachchan | Madhavan,Mani Ratnam,6
467,tt0758053,Saawariya,2007,Drama | Musical | Romance,Ranbir Kapoor | Sonam Kapoor | Salman Khan | Rani Mukerji,Sanjay Leela Bhansali,1
468,tt0770214,Kabul Express,2006,Action | Comedy | Drama,John Abraham | Arshad Warsi | Salman Shahid | Hanif Hum Ghum,Kabir Khan,2
469,tt0779768,Teesri Aankh: The Hidden Camera,2006,Action | Thriller,Sunny Deol | Ameesha Patel | Neha Dhupia | Mukesh Rishi,Harry Baweja,1
470,tt0795434,Namastey London,2007,Comedy | Drama | Romance,Akshay Kumar | Katrina Kaif | Rishi Kapoor | Clive Standen,Vipul Amrutlal Shah,5
471,tt0800956,Life in a Metro,2007,Comedy | Drama | Romance,Dharmendra | Irrfan Khan | Konkona Sen Sharma | Kay Kay Menon,Anurag Basu,5
472,tt0800981,Anthony Kaun Hai?,2006,Comedy | Thriller,Sanjay Dutt | Arshad Warsi | Minissha Lamba | Anusha Dhandekar,Raj Kaushal,1
473,tt0805184,Bhagam Bhag,2006,Comedy | Mystery | Romance,Akshay Kumar | Govinda | Paresh Rawal | Lara Dutta,Priyadarshan,6
474,tt0806088,Heyy Babyy,2007,Comedy | Drama,Akshay Kumar | Vidya Balan | Fardeen Khan | Ritesh Deshmukh,Sajid Khan,6
475,tt0807758,Partner,2007,Comedy | Romance,Salman Khan | Govinda | Lara Dutta | Katrina Kaif,David Dhawan,7
476,tt0808306,Honeymoon Travels Pvt. Ltd.,2007,Comedy | Drama | Romance,Ranvir Shorey | Dia Mirza | Abhay Deol | Minissha Lamba,Reema Kagti,4
477,tt0810058,Aap Ki Khatir,2006,Romance,Akshaye Khanna | Priyanka Chopra | Ameesha Patel | Dino Morea,Dharmesh Darshan,1
