,Actor,Top Genres
350,Vidya Balan,"[('Drama', 12), ('Comedy', 10), ('Romance', 5)]"
351,Sumit Arora,"[('Action', 1), ('Drama', 1)]"
352,Bhairavi Goswami,"[('Family', 2), ('Comedy', 1), ('Animation', 1)]"
353,Kalki Koechlin,"[('Drama', 4), ('Romance', 4), ('Comedy', 3)]"
354,Aarav Khanna,"[('Comedy', 1), ('Drama', 1), ('Family', 1)]"
355,Mikaal,"[('Romance', 1)]"
356,Faith,"[('Romance', 1)]"
357,Sara Arjun,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
358,Sanjay Mishra,"[('Comedy', 5), ('Drama', 4), ('Adventure', 1)]"
359,Tia Bajpai,"[('Drama', 3), ('Horror', 2), ('Comedy', 1)]"
360,Kainaz Motivala,"[('Drama', 1), ('Comedy', 1), ('Horror', 1)]"
361,Jatin Khurana,"[('Romance', 1)]"
362,Mohsin,"[('Action', 1), ('Comedy', 1), ('Crime', 1)]"
363,Vipinno,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
364,Gaurav Chopra,"[('Comedy', 1)]"
365,Harish Raj,"[('Drama', 1), ('Romance', 1)]"
366,Sendhil Ramamurthy,"[('Crime', 1), ('Drama', 1)]"
367,Akash,"[('Action', 1), ('Romance', 1), ('Adventure', 1)]"
368,Gunjan Bakshi,"[('Drama', 1)]"
369,Riya Bamniyal,"[('Comedy', 1), ('Drama', 1)]"
370,Jacqueline Fernandez,"[('Comedy', 3), ('Action', 2), ('Drama', 2)]"
371,Raayo S. Bakhirta,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
372,Anirudh Agarwal,"[('Drama', 1), ('Horror', 1), ('Mystery', 1)]"
373,Lillete Dubey,"[('Drama', 7), ('Romance', 4), ('Comedy', 3)]"
374,Shefali Shetty,"[('Drama', 3), ('Crime', 1), ('Biography', 1)]"
375,Vivek Sudershan,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
376,Raj Singh Chaudhary,"[('Crime', 2), ('Drama', 2), ('Mystery', 2)]"
377,Aryeman Ramsay,"[('Crime', 2), ('Drama', 2), ('Comedy', 1)]"
378,Sahil Mehta,"[('Comedy', 1), ('Drama', 1)]"
379,Tara Sharma,"[('Drama', 5), ('Comedy', 2), ('Action', 1)]"
380,Deven Bhojani,"[('Comedy', 1), ('Drama', 1)]"
381,Raghuvir Yadav,"[('Drama', 8), ('Romance', 2), ('Comedy', 2)]"
382,Bruna Abdullah,"[('Comedy', 1), ('Drama', 1)]"
383,Javed Abedi,"[('Drama', 1)]"
384,Rannvijay Singh,"[('Drama', 2), ('Romance', 2), ('Thriller', 2)]"
385,Vega Tamotia,"[('Drama', 2), ('Action', 1), ('War', 1)]"
386,Nishan Nanaiah,"[('Drama', 2), ('Action', 1), ('Sport', 1)]"
387,Rohit G. Banawlikar,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
388,Rajan Verma,"[('Action', 1)]"
389,Apoorva Arora,"[('Drama', 1)]"
390,Ila Arun,"[('Drama', 4), ('Comedy', 2), ('Animation', 1)]"
391,Mohan Agashe,"[('Drama', 2), ('Crime', 2), ('Thriller', 2)]"
392,Siddharth Kher,"[('Drama', 3), ('Thriller', 3), ('Sport', 1)]"
393,Rajesh Bhardwaj,"[('Comedy', 1), ('Drama', 1)]"
394,Sachiin Joshi,"[('Action', 1), ('Comedy', 1), ('Drama', 1)]"
395,Naresh Kaura,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
396,Birbal,"[('Drama', 3), ('Comedy', 1), ('Action', 1)]"
397,Saqib Saleem,"[('Comedy', 2), ('Drama', 2), ('Romance', 1)]"
398,Abhijeet,"[('Crime', 1), ('Drama', 1), ('Mystery', 1)]"
399,Anand Tiwari,"[('Comedy', 3), ('Action', 1), ('Crime', 1)]"
400,Chirag Paswan,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
401,Shubh,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
402,Sunny Gill,"[('Drama', 1), ('Romance', 1)]"
403,Aman Verma,"[('Drama', 3), ('Horror', 1), ('Romance', 1)]"
404,Sidharth Malhotra,"[('Comedy', 2), ('Romance', 2)]"
405,Sridevi,"[('Comedy', 2), ('Action', 1), ('Drama', 1)]"
406,Trimala Adhikari,"[('Drama', 1)]"
407,Bidita Bag,"[('Comedy', 1), ('Romance', 1)]"
408,Kunal Kapoor,"[('Drama', 3), ('Comedy', 2), ('Romance', 2)]"
409,Usha Bachani,"[('Romance', 2), ('Drama', 1)]"
410,Kavin Dave,"[('Romance', 2), ('Comedy', 1), ('Horror', 1)]"
411,Mohit Baghet,"[('Drama', 1)]"
412,Himanshu Bhatt,"[('Drama', 1), ('Thriller', 1)]"
413,Khan Jahangir Khan,"[('Drama', 1)]"
414,Anand Balraj,"[('Comedy', 1)]"
415,Kanika Batra,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
416,Narayan Singh Sisodia,"[('Action', 1), ('War', 1)]"
417,Aditya Roy Kapoor,"[('Drama', 4), ('Romance', 3), ('Comedy', 2)]"
418,Abishek Anand,"[('Action', 1)]"
419,Swara Bhaskar,"[('Drama', 2), ('Horror', 1), ('Romance', 1)]"
420,Kanwaljit Singh,"[('Drama', 2), ('Comedy', 1)]"
421,Asif Basra,"[('Drama', 5), ('Comedy', 3), ('Action', 2)]"
422,Malini Awasthi,"[('Drama', 1)]"
423,Barun Sobti,"[('Comedy', 1), ('Romance', 1)]"
424,Anisa Butt,"[('Comedy', 1), ('Romance', 1)]"
425,Sidhant Kapur,"[('Romance', 1)]"
426,Habeeb Aidroos,"[('Horror', 1)]"
427,Habib Aazmi,"[('History', 1)]"
428,Hemant Pandey,"[('Adventure', 1), ('Comedy', 1), ('Horror', 1)]"
429,Manish Chaudhary,"[('Thriller', 4), ('Drama', 4), ('Romance', 3)]"
430,Vickrant Mahajan,"[('Comedy', 1)]"
431,Sanjay Amar,"[('Drama', 1)]"
432,Subhash Ahuja,"[('Drama', 1)]"
433,Arjun Kapoor,"[('Drama', 5), ('Action', 3), ('Romance', 3)]"
434,Divya Divedi,"[('Comedy', 1), ('Action', 1), ('Adventure', 1)]"
435,Paoli Dam,"[('Thriller', 2), ('Drama', 1)]"
436,Sunidhi Chauhan,"[('Drama', 2), ('Animation', 1), ('Musical', 1)]"
437,Ayushmann Khurrana,"[('Comedy', 3), ('Romance', 2), ('Drama', 1)]"
438,Manisha Kelkar,"[('Crime', 2), ('Thriller', 1), ('Drama', 1)]"
439,Mohammed Zeeshan Ayyub,"[('Thriller', 3), ('Drama', 3), ('Crime', 1)]"
440,Prabhudheva,"[('Music', 1), ('Western', 1)]"
441,Rani Agrawal,"[('Comedy', 1)]"
442,Barkha Bisht,"[('Drama', 1), ('Mystery', 1)]"
443,Ashok Banthia,"[('Romance', 2), ('Thriller', 2), ('Comedy', 1)]"
444,Pulkit Samrat,"[('Romance', 1), ('Comedy', 1), ('Drama', 1)]"
445,Shona Chabra,"[('Musical', 1), ('Romance', 1), ('Thriller', 1)]"
446,Rahul Bairagi,"[('Drama', 1)]"
447,Jacky Bhagnani,"[('Drama', 3), ('Romance', 2), ('Action', 2)]"
448,Ram Charan,"[('Action', 1)]"
449,Shruti K. Haasan,"[('Comedy', 1), ('Family', 1), ('Romance', 1)]"
450,'Chiyaan' Vikram,"[('Action', 2), ('Crime', 2), ('Adventure', 1)]"
451,Dhanush,"[('Drama', 1), ('Romance', 1)]"
452,Raj Babbar,"[('Drama', 6), ('Action', 5), ('Crime', 4)]"
453,Sagar Bhangade,"[('Drama', 1)]"
454,Kiran Bhatia,"[('Horror', 1), ('Mystery', 1), ('Thriller', 1)]"
455,Harish Chabbra,"[('Drama', 1), ('Family', 1), ('Mystery', 1)]"
456,Asha Bhosle,"[('Drama', 1), ('Family', 1)]"
457,Jaideep Ahlawat,"[('Drama', 2), ('Action', 1), ('Horror', 1)]"
458,Chandan Roy Sanyal,"[('Mystery', 1), ('Comedy', 1), ('Romance', 1)]"
459,Parimal Aloke,"[('Drama', 2), ('Short', 1), ('Comedy', 1)]"
460,Yuddvir Bakolia,"[('Animation', 1), ('Action', 1), ('Adventure', 1)]"
461,Frank M. Ahearn,"[('Drama', 1), ('Comedy', 1)]"
462,Aadil Abedi,"[('Comedy', 1), ('Drama', 1)]"
463,Sunny Leone,"[('Thriller', 3), ('Romance', 2), ('Horror', 1)]"
464,Nivedita Bhattacharya,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
465,Shradha Das,"[('Comedy', 1), ('Thriller', 1)]"
466,Zakir Hussain,"[('Drama', 9), ('Action', 6), ('Comedy', 5)]"
467,Sarita Joshi,"[('Drama', 2), ('Comedy', 1), ('Family', 1)]"
468,Naveen Kasturia,"[('Comedy', 1), ('Romance', 1)]"
469,Aparna Bajpai,"[('Horror', 2)]"
470,Annu Kapoor,"[('Drama', 2), ('Romance', 2), ('Comedy', 1)]"
471,Manish Paul,"[('Comedy', 1), ('Thriller', 1)]"
472,Jigna Bhardwaj,"[('Animation', 1), ('Adventure', 1), ('Fantasy', 1)]"
473,Priya Anand,"[('Drama', 3), ('Comedy', 2), ('Action', 1)]"
474,Hussain Kuwajerwala,"[('Sci-Fi', 1)]"
475,Sanjai Mishra,"[('Comedy', 1), ('Drama', 1)]"
476,Rhea Chakraborty,"[('Drama', 1), ('Comedy', 1)]"
477,Mohinder Gujral,"[('Drama', 1), ('Romance', 1)]"
478,Swati Aggarwal,"[('Drama', 1)]"
479,Wamiqa Gabbi,"[('Romance', 2), ('Drama', 1), ('Thriller', 1)]"
480,Vibha Chhibber,"[('Drama', 1)]"
481,Alia Bhatt,"[('Romance', 4), ('Drama', 3), ('Comedy', 2)]"
482,Sushant Singh Rajput,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
483,Siddharth Gupta,"[('Comedy', 1), ('Romance', 1)]"
484,Soha Ali Khan,"[('Drama', 6), ('Comedy', 3), ('Romance', 2)]"
485,Kartik Tiwari,"[('Drama', 1), ('Musical', 1), ('Romance', 1)]"
486,Ranbir Chakma,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
487,Brijesh Kori,"[('Drama', 1)]"
488,Anjori Alagh,"[('Drama', 2), ('Horror', 1), ('Mystery', 1)]"
489,Puneet Singh Ratn,"[('Crime', 1)]"
490,Santosh Barmola,"[('Adventure', 1), ('Thriller', 1)]"
491,Tiger Shroff,"[('Action', 1), ('Romance', 1)]"
492,BuAli Shah,"[('Thriller', 1)]"
493,Shahbaz Baweja,"[('Comedy', 1)]"
494,Nazia Hussain,"[('Romance', 1), ('Drama', 1)]"
495,Satyakam Anand,"[('Drama', 1)]"
496,Ashrita Agarwal,"[('Comedy', 1)]"
497,Indrapal Ahuja,"[('Drama', 1)]"
498,Nishant Dahiya,"[('Comedy', 2), ('Drama', 1), ('Romance', 1)]"
499,Rupa Bhimani,"[('Animation', 1)]"
500,Adhyayan Suman,"[('Drama', 3), ('Romance', 2), ('Family', 1)]"
501,Manu Rishi Chadha,"[('Comedy', 4), ('Drama', 3), ('Romance', 2)]"
502,Himansh Kohli,"[('Drama', 1), ('Romance', 1)]"
503,Sahil Anand,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
504,Shiv Darshan,"[('Action', 1), ('Romance', 1)]"
505,Sanjiv Chopra,"[('Drama', 2), ('Crime', 1), ('Musical', 1)]"
506,Mahesh Balraj,"[('Drama', 1), ('Comedy', 1), ('Crime', 1)]"
507,Jyoti Rana,"[('Thriller', 1)]"
508,Gajendra Chouhan,"[('Drama', 2), ('Crime', 2), ('Romance', 2)]"
509,Hritu,"[('Horror', 2)]"
510,Ajay Sinh Rathod,"[('Action', 1)]"
511,Ramgopal Bajaj,"[('Mystery', 1)]"
512,Kannan Arunachalam,"[('Action', 1), ('Drama', 1)]"
513,Satish Kaushik,"[('Drama', 4), ('Comedy', 3), ('Thriller', 2)]"
514,Varun Dhawan,"[('Comedy', 3), ('Romance', 3), ('Action', 1)]"
515,Rajkummar Rao,"[('Drama', 4), ('Comedy', 2), ('Adventure', 1)]"
516,Armaan Jain,"[('Comedy', 1), ('Romance', 1)]"
517,Sonam Arora,"[('Thriller', 1)]"
518,Saahil Prem,"[('Drama', 1), ('Horror', 1), ('Musical', 1)]"
519,Vir Das,"[('Comedy', 9), ('Crime', 3), ('Drama', 3)]"
520,Rajesh Bakshi,"[('Action', 1), ('Crime', 1), ('Romance', 1)]"
521,Manoj Amarnani,"[('Comedy', 1), ('Romance', 1)]"
522,Deepak Chadha,"[('Drama', 1)]"
523,Shiv Pandit,"[('Comedy', 2), ('Action', 2), ('Drama', 2)]"
524,Mohan Joshi,"[('Action', 2), ('Crime', 2), ('Drama', 2)]"
525,Kaivalya Chheda,"[('nan', 1), ('Family', 1)]"
526,Manish Choudhary,"[('Horror', 1)]"
527,Adil Hussain,"[('Drama', 2), ('nan', 1), ('Comedy', 1)]"
528,Hema Malini,"[('Drama', 4), ('Romance', 4), ('Musical', 1)]"
529,Sayaji Shinde,"[('Drama', 2), ('Thriller', 2), ('Action', 1)]"
530,Rahul Dev,"[('Drama', 7), ('Crime', 5), ('Action', 3)]"
531,Rajeshwari Sachdev,"[('Drama', 1)]"
532,Heather Graham,"[('Comedy', 1), ('Fantasy', 1), ('Music', 1)]"
533,Ravi Baswani,"[('Thriller', 2), ('Drama', 1)]"
534,Aarti Agarwal,"[('Romance', 1)]"
535,Dipti Bhatnagar,"[('Drama', 1)]"
536,Reema Sen,"[('Musical', 2), ('Drama', 2), ('Action', 1)]"
537,Ruby Bhatia,"[('Documentary', 1)]"
538,Mohanlal,"[('Action', 3), ('Crime', 1), ('Adventure', 1)]"
539,Mukul Dev,"[('Drama', 2), ('Romance', 2), ('Action', 1)]"
540,Sonali Bendre,"[('Comedy', 2), ('Romance', 2), ('Drama', 1)]"
541,Rahul Bhat,"[('Action', 2), ('Romance', 1), ('Crime', 1)]"
542,Nawab Shah,"[('Drama', 1), ('Thriller', 1), ('War', 1)]"
543,Anupama Verma,"[('Drama', 2), ('Thriller', 2), ('Romance', 2)]"
544,Snehal Dabi,"[('Comedy', 4), ('Crime', 4), ('Drama', 3)]"
545,Sharad S. Kapoor,"[('Action', 4), ('Musical', 3), ('Romance', 3)]"
546,Viveka Babajee,"[('Musical', 1), ('Drama', 1), ('Romance', 1)]"
547,Amrita Rao,"[('Comedy', 7), ('Drama', 7), ('Action', 3)]"
548,Tulip Joshi,"[('Drama', 4), ('Romance', 3), ('Action', 2)]"
549,Anang Desai,"[('Drama', 4), ('Comedy', 2), ('Musical', 2)]"
550,Atul Agnihotri,"[('Action', 1), ('Drama', 1), ('Fantasy', 1)]"
551,Dinesh Hingoo,"[('Drama', 5), ('Action', 3), ('Romance', 2)]"
552,Sonya Jehan,"[('Drama', 1), ('Musical', 1), ('Romance', 1)]"
553,Smita Jaykar,"[('Romance', 4), ('Drama', 3), ('Comedy', 2)]"
554,Namrata Shirodkar,"[('Drama', 4), ('Romance', 2), ('Action', 1)]"
555,Jaya Seal,"[('Action', 1), ('Thriller', 1), ('Drama', 1)]"
556,Simone Singh,"[('Drama', 2), ('Musical', 1), ('Mystery', 1)]"
557,Aamir Ali Malik,"[('Comedy', 1), ('Romance', 1)]"
558,Esha Deol,"[('Drama', 8), ('Comedy', 4), ('Action', 3)]"
559,Tara Deshpande,"[('Crime', 2), ('Drama', 2), ('Thriller', 1)]"
560,Heenee Kaushik,"[('Drama', 1)]"
561,Lara Dutta,"[('Drama', 7), ('Comedy', 7), ('Romance', 6)]"
562,Nethra Raghuraman,"[('Action', 3), ('Crime', 2), ('Musical', 1)]"
563,Sonali Khare,"[('Drama', 1), ('Family', 1), ('Musical', 1)]"
564,Shakti Kapoor,"[('Comedy', 6), ('Thriller', 4), ('Drama', 4)]"
565,Kader Khan,"[('Romance', 4), ('Comedy', 2), ('Musical', 2)]"
566,Sonu Nigam,"[('Family', 1), ('Musical', 1), ('Romance', 1)]"
567,Aditi Govitrikar,"[('Thriller', 2), ('Adventure', 1)]"
568,Vikas Sethi,"[('Drama', 1)]"
569,Alyy Khan,"[('Drama', 2), ('Comedy', 1), ('Romance', 1)]"
570,Sandali Sinha,"[('Drama', 2), ('Romance', 2), ('Action', 1)]"
571,Anuj Sawhney,"[('Drama', 2), ('Comedy', 1), ('Romance', 1)]"
572,Perizaad Zorabian,"[('Comedy', 2), ('Romance', 2), ('Action', 1)]"
573,Gayatri Joshi,"[('Drama', 1)]"
574,Sabyasachi Chakraborty,"[('Drama', 2), ('Comedy', 1), ('Action', 1)]"
575,Bhoomika Chawla,"[('Drama', 3), ('Romance', 2), ('Action', 2)]"
576,Dilip Prabhavalkar,"[('Drama', 2), ('Crime', 1), ('Comedy', 1)]"
577,Liyaqat Bari,"[('Action', 2), ('Crime', 1)]"
578,Sadiya Siddiqui,"[('Comedy', 1)]"
579,Ammtoje Mann,"[('Drama', 1), ('Action', 1), ('Romance', 1)]"
580,Tim Lawrence,"[('Action', 1)]"
581,Ahmed Chaudhary,"[('Thriller', 2), ('Drama', 1), ('Mystery', 1)]"
582,Masumeh Makhija,"[('Comedy', 3), ('Musical', 1), ('Drama', 1)]"
583,Ting Leung,"[('Action', 1)]"
584,Lucy Bartholomew,"[('Thriller', 1)]"
585,Avtar Gill,"[('Romance', 5), ('Comedy', 5), ('Drama', 5)]"
586,Revathy,"[('Drama', 4), ('Romance', 2), ('Crime', 1)]"
587,Noemi Besedes,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
588,Suchindra Bali,"[('Drama', 1)]"
589,Kulbhushan Kharbanda,"[('Drama', 3), ('Romance', 2), ('nan', 1)]"
590,Saloni Aswani,"[('Romance', 2), ('Drama', 1)]"
591,Dimple,"[('Comedy', 1)]"
592,Ashney Shroff,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
593,Tina Rana,"[('Musical', 1), ('Romance', 1)]"
594,Isha Sharvani,"[('Romance', 3), ('Drama', 2), ('Musical', 2)]"
595,Dimple Kapadia,"[('Drama', 9), ('Comedy', 7), ('Musical', 2)]"
596,Ashmit Patel,"[('Drama', 5), ('Thriller', 4), ('Musical', 2)]"
597,Tarun Arora,"[('Thriller', 2), ('Romance', 2), ('Drama', 1)]"
598,Mandira Bedi,"[('Comedy', 3), ('Drama', 3), ('Adventure', 1)]"
599,Yashpal Sharma,"[('Drama', 8), ('Crime', 3), ('Thriller', 2)]"
600,Shantanu Chappana,"[('Drama', 1)]"
601,Cleo Isaacs,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
602,Jyoti Dogra,"[('Drama', 1), ('Comedy', 1)]"
603,Prakash Rao,"[('Drama', 1)]"
604,Kiran Kumar,"[('Drama', 2), ('Romance', 2), ('Action', 2)]"
605,Sharmila Tagore,"[('Drama', 1)]"
606,Yash Pandit,"[('Romance', 2), ('Adventure', 1), ('Comedy', 1)]"
607,Anu Kashyap,"[('Action', 1)]"
608,Sheetal Bavishi,"[('Action', 1), ('Thriller', 1)]"
609,Varsha Usgaonkar,"[('Action', 1), ('Crime', 1), ('Fantasy', 1)]"
610,Thomas Tevana,"[('Action', 1), ('Comedy', 1), ('Drama', 1)]"
611,Suhel Seth,"[('Mystery', 1), ('Romance', 1), ('Thriller', 1)]"
612,Elidh MacQueen,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
613,Sherrin Verghese,"[('Musical', 1)]"
614,Sneha Ullal,"[('Drama', 3), ('Musical', 1), ('Fantasy', 1)]"
615,Anjana Sukhani,"[('Comedy', 1), ('Romance', 1)]"
616,Suchitra Krishnamoorthi,"[('Thriller', 1), ('Drama', 1)]"
617,Shamita Shetty,"[('Thriller', 3), ('Drama', 1)]"
618,Girish Karnad,"[('Drama', 4), ('Comedy', 1), ('Crime', 1)]"
619,Vikram Singh,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
620,Sujeet Chaubey,"[('Drama', 1)]"
621,Darshan Jariwala,"[('Drama', 4), ('Action', 2), ('Romance', 2)]"
622,Arif Zakaria,"[('Drama', 1), ('Horror', 1), ('Thriller', 1)]"
623,Koena Mitra,"[('Thriller', 2), ('Comedy', 1), ('Drama', 1)]"
624,Murad Ali,"[('Drama', 2), ('Mystery', 1), ('Romance', 1)]"
625,Saadhika,"[('Crime', 1)]"
626,Talat Aziz,"[('Romance', 1)]"
627,Boman Irani,"[('Drama', 16), ('Comedy', 13), ('Romance', 7)]"
628,Genelia D'Souza,"[('Drama', 5), ('Comedy', 4), ('Romance', 4)]"
629,Minissha Lamba,"[('Drama', 8), ('Romance', 5), ('Comedy', 5)]"
630,Till Dilumière,"[('Drama', 1), ('Romance', 1)]"
631,Samita Bangargi,"[('Comedy', 1), ('Drama', 1), ('Family', 1)]"
632,Preeti Ganguli,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
633,Pankaj Kapur,"[('Drama', 3), ('Action', 2), ('Crime', 2)]"
634,Mahesh Raj,"[('Horror', 1)]"
635,Kishori Godbole,"[('Crime', 1)]"
636,Ashok Beniwal,"[('Crime', 1)]"
637,Natalya Gudkova,"[('Action', 1), ('Drama', 1)]"
638,Celina Jaitly,"[('Drama', 6), ('Action', 3), ('Thriller', 3)]"
639,Tanaaz Currim Irani,"[('Romance', 1)]"
640,Navneet Kaur,"[('Thriller', 1)]"
641,Anil Nagrath,"[('Horror', 1)]"
642,Mridula Baruah,"[('Romance', 1)]"
643,Rajesh Jolly,"[('Animation', 1)]"
644,Anita Hassandani,"[('Comedy', 3), ('Drama', 2), ('Horror', 2)]"
645,Malavikka,"[('Drama', 2), ('Horror', 2), ('Mystery', 2)]"
646,Negar Khan,"[('Comedy', 2), ('Romance', 1)]"
647,Satnam Kaur,"[('Action', 1)]"
648,Himani Shivpuri,"[('Romance', 2)]"
649,Sonika Kapoor,"[('Comedy', 1)]"
650,Deepal Shaw,"[('Drama', 2), ('Action', 1), ('Crime', 1)]"
651,Prem Chopra,"[('Comedy', 5), ('Drama', 3), ('Romance', 2)]"
652,Milind Gunaji,"[('Drama', 5), ('Thriller', 3), ('Comedy', 2)]"
653,Jiah Khan,"[('Drama', 2), ('Action', 1), ('Mystery', 1)]"
654,Rajeev Awasthi,"[('Comedy', 1), ('Action', 1), ('Crime', 1)]"
655,Siddharth Dhawan,"[('Drama', 1)]"
656,Priyanka Kothari,"[('Action', 2), ('Drama', 2), ('Crime', 2)]"
657,Meghna Naidu,"[('Thriller', 3), ('Romance', 2), ('Drama', 2)]"
658,Padmini Kolhapure,"[('Thriller', 1), ('Action', 1), ('Comedy', 1)]"
659,Martin Sheen,"[('Drama', 1), ('History', 1)]"
660,Mohnish Bahl,"[('Drama', 7), ('Action', 3), ('Romance', 3)]"
661,Vipasha Agarwal,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
662,Sarthak Bhasin,"[('Drama', 1), ('Romance', 1)]"
663,Udita Goswami,"[('Drama', 5), ('Crime', 3), ('Romance', 2)]"
664,Rip Torn,"[('Comedy', 1), ('Romance', 1)]"
665,Zain Khan,"[('Crime', 1), ('Drama', 1), ('Family', 1)]"
666,Jaipreet Nagra,"[('Crime', 1)]"
667,Geeta Basra,"[('Thriller', 2), ('Drama', 1), ('Comedy', 1)]"
668,Hansika Motwani,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
669,Mahesh Manjrekar,"[('Comedy', 6), ('Action', 5), ('Drama', 5)]"
670,Neha Uberoi,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
671,Udayyan Raathore,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
672,Veer Arya,"[('Action', 1), ('Adventure', 1), ('Drama', 1)]"
673,Ahsaas Channa,"[('Horror', 3), ('Mystery', 3), ('Drama', 2)]"
674,Rimi Sen,"[('Drama', 6), ('Comedy', 5), ('Romance', 4)]"
675,Jitender Bhargava,"[('Comedy', 1)]"
676,Raju Srivastava,"[('Comedy', 1)]"
677,Leigh Barwell,"[('Drama', 2), ('Comedy', 1), ('Action', 1)]"
678,Asseem Merchant,"[('Drama', 2), ('Action', 1), ('Romance', 1)]"
679,Shaurya Chauhan,"[('Comedy', 1), ('Drama', 1)]"
680,Brandon Routh,"[('Action', 1), ('Comedy', 1), ('Romance', 1)]"
681,Lena Christensen,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
682,Asin,"[('Comedy', 4), ('Action', 2), ('Romance', 2)]"
683,Allan Border,"[('Drama', 1), ('Sport', 1)]"
684,Christopher Lloyd,"[('Animation', 1)]"
685,Jai Ganesh,"[('Fantasy', 1)]"
686,Nasser,"[('Action', 3), ('Comedy', 3), ('Drama', 2)]"
687,Sonu Sood,"[('Drama', 3), ('Action', 3), ('Comedy', 3)]"
688,Bárbara Mori,"[('Action', 1), ('Drama', 1), ('Romance', 1)]"
689,Milind Soman,"[('Drama', 3), ('Mystery', 2), ('Action', 1)]"
690,Himani Chawla,"[('Drama', 1)]"
691,Sonal Chauhan,"[('Crime', 2), ('Drama', 2), ('Horror', 1)]"
692,Shernaz Patel,"[('Comedy', 2), ('Drama', 2), ('Romance', 1)]"
693,Abhisar Bose,"[('Drama', 1)]"
694,Anaitha Nair,"[('Comedy', 1), ('Drama', 1)]"
695,Upendra Limaye,"[('Drama', 2), ('Crime', 1)]"
696,Brownie,"[('Action', 1), ('Adventure', 1), ('Drama', 1)]"
697,Aishwarya,"[('Drama', 1), ('Thriller', 1)]"
698,Vibha Cheebur,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
699,Nakuul Mehta,"[('Drama', 1), ('Romance', 1)]"
700,Avantika,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
701,Sarika,"[('Drama', 4), ('Comedy', 2), ('Crime', 1)]"
702,Punit Aneja,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
703,Nilofer Khan,"[('Crime', 1)]"
704,Amruta Khanvilkar,"[('Drama', 2), ('Horror', 2), ('Mystery', 2)]"
705,Ayesha Kapoor,"[('Drama', 2), ('Crime', 1), ('Mystery', 1)]"
706,Kurush Deboo,"[('Comedy', 2), ('Romance', 2), ('Drama', 2)]"
707,Raima Sen,"[('Drama', 5), ('Crime', 2), ('Comedy', 1)]"
708,Adah Sharma,"[('Drama', 1), ('Comedy', 1), ('Horror', 1)]"
709,Aamna Shariff,"[('Comedy', 2), ('Drama', 2), ('Romance', 1)]"
710,Kartika Rane,"[('Comedy', 1), ('Drama', 1)]"
711,Mahie Gill,"[('Drama', 7), ('Comedy', 3), ('Crime', 3)]"
712,Aham Sharma,"[('Mystery', 1), ('Action', 1), ('Romance', 1)]"
713,Neha Bhatt,"[('Comedy', 1), ('Drama', 1)]"
714,Yuvika Chaudhry,"[('Drama', 4), ('Comedy', 2), ('Thriller', 2)]"
715,Mahek Chahal,"[('Action', 2), ('Comedy', 2), ('Drama', 2)]"
716,Shahib Chopra,"[('Drama', 1), ('Mystery', 1), ('Romance', 1)]"
717,Sachin Nayak,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
718,Sharbani Mukherji,"[('Thriller', 1), ('Musical', 1), ('Action', 1)]"
719,Monica Dogra,"[('Drama', 1)]"
720,Jaspal Bhatti,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
721,Sheena Shahabadi,"[('Drama', 1), ('Romance', 1)]"
722,Carl Marino,"[('Comedy', 1), ('Drama', 1), ('Musical', 1)]"
723,Sonal Sehgal,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
724,Anto Boghokian,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
725,Prerna Chawla,"[('Drama', 1), ('Romance', 1)]"
726,Aqib Afzaal,"[('Crime', 1), ('Drama', 1), ('Musical', 1)]"
727,Kenny Desai,"[('Comedy', 1)]"
